title,vendor,category,published,option,option_value,variant_grams,variant_tracker,variant_policy,variant_service,variant_price,variant_require_shipping,variant_taxable,image,image_position,gift,variant_weight_unit
BEAU BEBE 2è âge,PEPITE D'OR,Alimentaire,False,Title,Default Title,0.0,shopify,deny,manual,0.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/39.jpg?v=1637346356,1.0,False,kg
FARINE BEAU BEBE 1er AGE,GRAND MARCHÉ,Alimentaire,False,Title,Default Title,0.0,shopify,deny,manual,0.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/1A.jpg?v=1637341341,1.0,False,kg
Copie de Cité des perles- Pot à Rangements Stylo-Vert et blanc,Cité des perles,Accessoires mode femme,False,Title,Default Title,0.0,shopify,deny,grandmarche,0.0,True,True,,,False,kg
Cité des perles- Pot à Rangements Stylo-Vert et blanc,Cité des perles,Accessoires mode femme,False,Title,Default Title,0.0,shopify,deny,grandmarche,0.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/Pivoteccitedesperles362.jpg?v=1632910977,1.0,False,kg
Cité des perles- Boîte de rangement-rose et jaune,Cité des perles,Accessoires mode femme,False,Title,Default Title,0.0,shopify,deny,grandmarche,0.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/Pivoteccitedesperles341.jpg?v=1632909311,1.0,False,kg
chiganvy-Pagne wax-rose-Femme-6m,AMARY’S,,False,Title,Default Title,0.0,shopify,deny,grandmarche,8000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/8_bbb5a279-1b00-4575-9ee3-40b1e589a86b.jpg?v=1632842111,1.0,False,kg
chiganvy-Pagne wax-Orange et vert foncé-Unisexe-6m,AMARY'S,,False,Title,Default Title,0.0,shopify,deny,grandmarche,8000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/7_f9f45ebb-eeca-47e4-aab4-fcfb64a1e073.jpg?v=1632821969,1.0,False,kg
chiganvy-Pagne wax-bleue et orange-Unisexe-6m,AMARY'S,,False,Title,Default Title,0.0,shopify,deny,grandmarche,8000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/6_8b64e5f9-c471-4a5e-90e5-df819e53a2ea.jpg?v=1632820641,1.0,False,kg
chiganvy-Pagne wax-rouge et noir-Unisexe-6m,AMARY’S,,False,Title,Default Title,0.0,shopify,deny,grandmarche,8000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/5_6cd661e4-12f4-4ce4-a306-eb3448c43f3b.jpg?v=1632820073,1.0,False,kg
Chiganvy-Pagne wax -Marron-Unisexe-6m,AMARY'S,,False,Title,Default Title,0.0,shopify,deny,grandmarche,8000.0,True,True,https://cdn.shopify.com/s/files/1/0068/0070/3543/products/2_9e22094f-9bbf-4a16-8208-1fe832f118ea.jpg?v=1632818940,1.0,False,kg
