product_title,product_vendor,product_type,quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Popcorn Caramel  - lot de 5 unités,Les Popcorns de la Capitale,Alimentaire,60,57311.0,0.0,-6751.0,50560.0,9120.0,59680.0
Thé_Moringa 20 sachets,le-grandmarche,Alimentaire,37,36434.0,0.0,-5084.0,31350.0,5650.0,37000.0
NAD CHIPS - Chips de manioc - 100g,Nad chips,Alimentaire,28,12715.0,0.0,-848.0,11867.0,2133.0,14000.0
Thé Moringa - 20 sachets,Agro-PAA,Alimentaire,24,27962.0,0.0,-7626.0,20336.0,3664.0,24000.0
Bionice - chips de fromage au lait de vache,Ets ZECM NICE,Alimentaire,20,9248.0,0.0,-848.0,8400.0,1510.0,9910.0
Adonis - Eau minéral,Parasel Bio Epice et Traditionnel,Alimentaire,14,18306.0,0.0,-4068.0,14238.0,2562.0,16800.0
CEVADEL-Sweet Tounvi Purée de tomate 100% naturel,Centre de Valorisation des Denrées Alimentaires,Alimentaire,12,5764.0,0.0,-1695.0,4069.0,731.0,4800.0
Origine terre-Savon Citron Pamplemousse,Origine Terre,hygiène et beauté,10,9322.0,0.0,-848.0,8474.0,1526.0,10000.0
Sweet Tounvi Purée de tomate 100% naturel,Centre de Valorisation des Denrées Alimentaires,Alimentaire,9,3051.0,0.0,0.0,3051.0,549.0,3600.0
"Box Ramadan - ""Pack Aya"" - (25 produits)",GRAND MARCHÉ,,9,158643.0,0.0,0.0,158643.0,21357.0,180000.0
Box apéro pack 1- (15 produits),GRAND MARCHÉ,Alimentaire,9,77800.0,-10000.0,0.0,67800.0,12200.0,80000.0
Gingembre au miel,le-grandmarche,Alimentaire,9,6102.0,0.0,0.0,6102.0,1098.0,7200.0
Festti - Jus ananas - 30 cl,AS GREEN SARL,Alimentaire,9,11440.0,0.0,0.0,11440.0,2060.0,13500.0
Festti Jus de mangue pack de 6,GRAND MARCHÉ,Alimentaire,8,11439.0,0.0,-1271.0,10168.0,1832.0,12000.0
Festti - Jus Ananas Gingembre  - 30 cl,AS GREEN SARL,Alimentaire,8,10003.0,0.0,0.0,10003.0,1802.0,11805.0
Savon S9 Riz Lavande by Kpêdétin,Origine Terre,hygiène et beauté,7,6779.0,0.0,-847.0,5932.0,1068.0,7000.0
Festti Jus Ananas-Gingembre pack de 6,GRAND MARCHÉ,Alimentaire,6,7626.0,0.0,0.0,7626.0,1374.0,9000.0
Popcorn Chocomilk lot de 5 unités,Les Popcorns de la Capitale,Alimentaire,6,5084.0,0.0,0.0,5084.0,916.0,6000.0
NAD CHIPS - Chips de manioc - lot de 5 unités,Nad chips,Alimentaire,6,6610.0,0.0,-1695.0,4915.0,885.0,5800.0
Fortis Familia - Miel Pur filtré,Ruchers d'Afrique,Alimentaire,6,15361.0,0.0,-1526.0,13835.0,2489.0,16324.0
Festti jus de baobab pack de 6,GRAND MARCHÉ,Alimentaire,6,7626.0,0.0,0.0,7626.0,1374.0,9000.0
