product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Popcorn Caramel  - lot de 5 unités,Les Popcorns de la Capitale,Alimentaire,60,57311.000,0.000,-6751.000,50560.000,9120.000,59680.000
Thé_Moringa 20 sachets,le-grandmarche,Alimentaire,37,36434.000,0.000,-5084.000,31350.000,5650.000,37000.000
NAD CHIPS - Chips de manioc - 100g,Nad chips,Alimentaire,28,12715.000,0.000,-848.000,11867.000,2133.000,14000.000
Thé Moringa - 20 sachets,Agro-PAA,Alimentaire,24,27962.000,0.000,-7626.000,20336.000,3664.000,24000.000
Bionice - chips de fromage au lait de vache,Ets ZECM NICE,Alimentaire,20,9248.000,0.000,-848.000,8400.000,1510.000,9910.000
Adonis - Eau minéral,Parasel Bio Epice et Traditionnel,Alimentaire,14,18306.000,0.000,-4068.000,14238.000,2562.000,16800.000
CEVADEL-Sweet Tounvi Purée de tomate 100% naturel,Centre de Valorisation des Denrées Alimentaires,Alimentaire,12,5764.000,0.000,-1695.000,4069.000,731.000,4800.000
Origine terre-Savon Citron Pamplemousse,Origine Terre,hygiène et beauté,10,9322.000,0.000,-848.000,8474.000,1526.000,10000.000
Sweet Tounvi Purée de tomate 100% naturel,Centre de Valorisation des Denrées Alimentaires,Alimentaire,9,3051.000,0.000,0.000,3051.000,549.000,3600.000
"Box Ramadan - ""Pack Aya"" - (25 produits)",GRAND MARCHÉ,,9,158643.000,0.000,0.000,158643.000,21357.000,180000.000
Box apéro pack 1- (15 produits),GRAND MARCHÉ,Alimentaire,9,77800.000,-10000.000,0.000,67800.000,12200.000,80000.000
Gingembre au miel,le-grandmarche,Alimentaire,9,6102.000,0.000,0.000,6102.000,1098.000,7200.000
Festti - Jus ananas - 30 cl,AS GREEN SARL,Alimentaire,9,11440.000,0.000,0.000,11440.000,2060.000,13500.000
Festti Jus de mangue pack de 6,GRAND MARCHÉ,Alimentaire,8,11439.000,0.000,-1271.000,10168.000,1832.000,12000.000
Festti - Jus Ananas Gingembre  - 30 cl,AS GREEN SARL,Alimentaire,8,10003.000,0.000,0.000,10003.000,1802.000,11805.000
Savon S9 Riz Lavande by Kpêdétin,Origine Terre,hygiène et beauté,7,6779.000,0.000,-847.000,5932.000,1068.000,7000.000
Festti Jus Ananas-Gingembre pack de 6,GRAND MARCHÉ,Alimentaire,6,7626.000,0.000,0.000,7626.000,1374.000,9000.000
Popcorn Chocomilk lot de 5 unités,Les Popcorns de la Capitale,Alimentaire,6,5084.000,0.000,0.000,5084.000,916.000,6000.000
NAD CHIPS - Chips de manioc - lot de 5 unités,Nad chips,Alimentaire,6,6610.000,0.000,-1695.000,4915.000,885.000,5800.000
Fortis Familia - Miel Pur filtré,Ruchers d'Afrique,Alimentaire,6,15361.000,0.000,-1526.000,13835.000,2489.000,16324.000
Festti jus de baobab pack de 6,GRAND MARCHÉ,Alimentaire,6,7626.000,0.000,0.000,7626.000,1374.000,9000.000
Thé_Moringa  12 cartons de 20 sachets,le-grandmarche,Alimentaire,5,38135.000,0.000,0.000,38135.000,6865.000,45000.000
Sédami Huile de coco,GRAND MARCHÉ,Alimentaire,5,14831.000,0.000,0.000,14831.000,2669.000,17500.000
"Box Ramadan - ""Pack Moubârak"" - (12 produits)",le-grandmarche,,5,42375.000,0.000,0.000,42375.000,7625.000,50000.000
Koro Miel Ordinaire,Koros Service,Alimentaire,5,16610.000,0.000,-2373.000,14237.000,2563.000,16800.000
Vitalus - Farine de Souchet 250g,Vitalus,Alimentaire,5,6271.000,0.000,-2373.000,3898.000,702.000,4600.000
Wakiza - Liqueur creme de coco - 70Cl,Winex global,Alimentaire,5,22880.000,0.000,0.000,22880.000,4120.000,27000.000
Savon Citron Pamplemousse,Origine Terre,hygiène et beauté,5,4237.000,0.000,0.000,4237.000,763.000,5000.000
