DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,OBS_FOOTNOTE:Observation footnote,SERIES_FOOTNOTE:Series footnote,DATA_SOURCE:Data Source,SOURCE_LINK:Citation of or link to the data source,CUSTODIAN:Custodian,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,REF_PERIOD:Reference Period,COVERAGE_TIME:The period of time for which data are provided,AGE:Current age
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2010,5.977,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2011,5.77,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2012,5.562,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2013,5.359,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2014,5.163,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2015,4.976,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2016,4.8,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2017,4.633,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,4.473,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2019,4.321,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AFG: Afghanistan,DM_FRATE_TOT: Total fertility rate,_T: Total,2020,4.176,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2010,1.66,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2011,1.673,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2012,1.684,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2013,1.69,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2014,1.688,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2015,1.677,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2016,1.659,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2017,1.638,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,1.617,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2019,1.597,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,ALB: Albania,DM_FRATE_TOT: Total fertility rate,_T: Total,2020,1.58,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2010,2.86,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2011,2.909,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2012,2.952,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2013,2.99,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2014,3.022,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2015,3.043,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2016,3.052,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2017,3.045,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,3.023,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2019,2.988,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,DZA: Algeria,DM_FRATE_TOT: Total fertility rate,_T: Total,2020,2.942,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2010,6.194,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2011,6.12,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2012,6.039,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2013,5.953,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2014,5.864,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2015,5.774,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2016,5.686,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2017,5.6,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2018,5.519,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
UNICEF:GLOBAL_DATAFLOW(1.0): Cross-sector indicators,AGO: Angola,DM_FRATE_TOT: Total fertility rate,_T: Total,2019,5.442,0: Units,LIVEBIRTHSPERWOMAN: Live births per woman,,,,,,"201 countries/areas from WPP2019, UNICEF aggregation calculated by female population from WPP2019",,UNPD2019,,,,,,
