ANNEE,ALIBORI,ATACORA,ATLANTIQUE,BORGOU,COLLINES,COUFFO,DONGA,LITTORAL,MONO,OUEME,PLATEAU,ZOU,BENIN
1979*,213 078,294 629,365 910,277 591,217 075,273 536,184 975,320 348,203 842,418 146,208 722,353 358,3 331 210
1992*,355 950,400 613,529 546,471 975,340 284,395 132,248 695,536 827,281 245,568 898,307 676,478 714,4 915 555
2002*,521 093,549 417,801 683,724 171,535 923,524 586,350 062,665 100,360 037,730 772,407 116,599 954,6 769 914
2003,537 472,566 687,826 882,746 934,552 769,541 075,361 065,686 006,371 354,753 742,419 913,618 812,6 982 711
2004,554 856,585 015,853 626,771 092,570 647,558 575,372 743,708 193,383 365,778 120,433 494,638 826,7 208 552
2005,573 245,604 403,881 916,796 647,589 559,577 087,385 097,731 664,396 070,803 908,447 861,659 998,7 447 454
2006,592 660,624 874,911 786,823 629,609 527,577 087,398 140,756 445,409 485,831 137,463 029,682 352,7 680 151
2007,612 605,645 903,942 471,851 346,630 039,616 711,411 538,781 902,423 265,859 107,478 612,705 315,7 958 813
2008,633 066,667 476,973 950,879 782,651 083,637 310,425 284,808 018,437 402,887 801,494 598,728 873,8 224 642
2009,654 094,689 647,1 006 300,909 004,672 709,658 478,439 410,834 856,451 931,917 290,511 026,753 083,8 497 827
2010,675 709,712 437,1 039 554,939 043,694 939,680 238,453 931,862 445,466 865,947 603,527 913,777 969,8 778 648
2011,697 910,735 845,1 073 709,969 896,717 772,702 588,468 845,890 781,482 204,978 737,545 258,803 530,9 067 076
2012,720 812,759 992,1 108 944,1 001 724,741 326,725 644,484 230,920 013,498 028,1 010 855,563 151,829 898,9 364 619
2013*,868 046,769 337,1 396 548,1 202 095,716 558,741 895,542 605,678 874,495 307,1 096 850,624 146,851 623,9 983 884
2014,768 800,810 588,1 182 772,1 068 414,790 680,773 954,516 468,981 263,531 185,1 078 153,600 643,885 149,9 988 068
2015,793 984,837 141,1 221 516,1 103 411,816 580,799 306,533 386,1 013 406,548 584,1 113 469,620 318,914 143,10 315 244
2016,820 032,864 605,1 261 590,1 139 611,843 369,825 529,550 884,1 046 652,566 582,1 149 999,640 669,944 133,10 653 654
2017,846 889,892 922,1 302 909,1 176 935,870 991,852 566,568 927,1 080 932,585 138,1 187 663,661 652,975 055,11 002 578
2018,874 575,922 113,1 345 503,1 215 411,899 465,880 438,587 526,1 116 269,604 267,1 226 489,683 282,1 006 931,11 362 269
2019,903 116,952 204,1 389 411,1 255 074,928 818,909 169,606 699,1 152 697,623 987,1 266 514,705 580,1 039 791,11 733 059
2020,932 452,983 136,1 434 544,1 295 843,958 989,938 703,626 407,1 190 141,644 256,1 307 655,728 500,1 073 567,12 114 193
2021,962 637,1 014 961,1 480 983,1 337 792,990 033,969 090,646 684,1 228 667,665 111,1 349 986,752 083,1 108 320,12 506 347
2022,993 633,1 047 642,1 528 669,1 380 867,1 021 911,1 000 294,667 507,1 268 229,686 528,1 393 454,776 299,1 144 007,12 909 041
2023,1 025 543,1 081 286,1 577 761,1 425 212,1 054 729,1 032 417,688 943,1 308 957,708 575,1 438 204,801 229,1 180 746,13 323 601
2024,1 058 463,1 115 995,1 628 407,1 470 962,1 088 586,1 065 558,711 058,1 350 975,731 320,1 484 370,826 949,1 218 648,13 751 291
2025,1 092 404,1 151 782,1 680 624,1 518 131,1 123 493,1 099 727,733 860,1 394 296,754 771,1 531 969,853 466,1 257 726,14 192 247
2026,1 127 302,1 188 576,1 734 314,1 566 629,1 159 384,1 134 859,757 304,1 438 838,778 883,1 580 909,880 731,1 297 905,14 645 634
2027,1 163 176,1 226 400,1 789 504,1 616 483,1 196 279,1 170 973,781 403,1 484 626,803 669,1 631 218,908 758,1 339 208,15 111 698
2028,1 200 009,1 265 236,1 846 171,1 667 671,1 234 161,1 208 053,806 147,1 531 639,829 118,1 682 873,937 535,1 381 616,15 590 229
2029,1 237 685,1 304 960,1 904 135,1 720 031,1 272 909,1 245 982,831 457,1 579 727,855 150,1 735 709,966 970,1 424 994,16 079 709
2030,1 276 279,1 345 651,1 963 510,1 773 665,1 312 601,1 284 834,857 384,1 628 986,881 815,1 789 832,997 123,1 469 428,16 581 108
