date,accessoires mode femme,alimentaire,barrettes,beauté et hygiène,bracelets et boucles d'oreille,chaussure pour homme,chaussures femme,chaussures homme,chaussures pour enfants garçon,chaussures pour femme,chaussures pour homme,chemise homme,complet nourrissons,complément alimentaire,ensemble pour homme,hygiène et soins du corps,montres homme,pendentif et boucle d'oreille,petits électroménagers,robe femme,robe pour femme,roman,sac usage mixte,sacs à mains,soins du corps,soins esthétiques,tenue pour homme,thé,électroménagers,e-commerce,country,eventail pour femme,grand électroménager,high tech,hygiène et beauté,hygiène et ménage
2016-12-04,0,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,42,0,0,0,0,0,42,0,0,benin,,,,,
2016-12-11,0,22,0,0,0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,28,0,0,0,0,0,0,0,0,benin,,,,,
2016-12-18,0,25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,benin,,,,,
2016-12-25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,0,0,0,0,0,0,0,0,benin,,,,,
2017-01-01,0,25,0,0,0,0.0,70.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31,0,0,0,0,0,0,0,0,benin,,,,,
2017-01-08,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,97,0,0,0,0,0,42,0,0,benin,,,,,
2017-01-15,0,21,0,0,0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53,0,0,0,0,0,80,0,0,benin,,,,,
2017-01-22,0,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,0,0,0,0,0,0,0,0,benin,,,,,
2017-01-29,0,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,39,0,0,0,0,0,0,0,0,benin,,,,,
2017-02-05,0,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0,13,0,0,0,0,0,39,0,0,benin,,,,,
2017-02-12,0,39,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,0,0,0,0,0,37,0,0,benin,,,,,
2017-02-19,0,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55,0,0,0,0,0,33,0,0,benin,,,,,
2017-02-26,0,35,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22,0,0,0,0,0,0,0,0,benin,,,,,
2017-03-05,0,52,0,0,0,0.0,0.0,49.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22,0,0,0,0,0,33,0,0,benin,,,,,
